country,year,y,x1,x2,x3
A,1990,1342787840,0.27790365,-1.1079559,0.28255358
A,1991,-1899660544,0.3206847,-0.94871998,0.49253848
A,1992,-11234363,0.36346573,-0.78948402,0.70252335
A,1993,2645775360,0.24614404,-0.88553298,-0.094390921
A,1994,3008334848,0.42462304,-0.72976828,0.94613063
A,1995,3229574144,0.47721413,-0.72324598,1.0296804
A,1996,2756754176,0.499805,-0.78157157,1.0922881
A,1997,2771810560,0.051628388,-0.70484549,1.4159008
A,1998,3397338880,0.36641079,-0.69837123,1.5487227
A,1999,39770336,0.39584252,-0.64315403,1.794198
B,1990,-5934699520,-0.081849977,1.4251202,0.023428116
B,1991,-711623744,0.10616001,1.6496018,0.26036251
B,1992,-1933116160,0.35378519,1.5937191,-0.23439877
B,1993,3072741632,0.72677696,1.6917576,0.25622433
B,1994,3768078848,0.71939486,1.7414261,0.41174951
B,1995,2837581312,0.67154658,1.7083139,0.53584301
B,1996,577199360,0.8198573,1.5324961,-0.49964902
B,1997,1786851584,0.88016719,1.5021962,-0.57626772
B,1998,-149072048,0.70451611,1.4236463,-0.44841924
B,1999,-1174480128,0.23696731,1.4545859,-0.049363993
C,1990,-1292379264,1.3125607,-1.2931356,0.20408297
C,1991,-3415966464,1.1774836,-1.344218,0.28397188
C,1992,-355804672,1.256408,-1.259951,0.3733927
C,1993,1225180032,1.4215446,-1.3117452,-0.37596563
C,1994,3802287616,1.1141931,-1.2849948,0.56046754
C,1995,1959696640,1.1594839,-1.2188276,0.69540799
C,1996,530576672,1.1604543,-1.2350063,0.81689382
C,1997,3128852224,1.4464116,-1.3275964,-0.14206907
C,1998,3201045760,1.1516267,-1.2061129,1.1945814
C,1999,4663067648,1.1905441,-1.1266172,1.6701604
D,1990,1883025152,-0.31391269,1.7366557,0.64663702
D,1991,6037768704,0.360091,2.1318641,1.0999417
D,1992,10244189,0.051887702,1.6816775,0.96976823
D,1993,5067265024,0.20944354,1.6149769,-0.21257821
D,1994,3882478336,0.38207,1.5683011,-1.1653867
D,1995,8827006976,0.2420858,1.5412215,-0.18413101
D,1996,5782000128,0.48636678,1.7423391,-0.037314527
D,1997,5090524160,0.35942599,1.8742865,0.087867953
D,1998,1850565248,0.23220351,1.5953021,0.072475471
D,1999,-2025476864,-0.079988964,1.7047973,0.558433
E,1990,1342787840,0.45286715,1.7284026,0.59705788
E,1991,2296009472,0.41904032,1.70684,0.79313534
E,1992,1737627776,0.38521346,1.6852775,0.98921281
E,1993,113973136,-0.24428773,1.6492835,1.2241328
E,1994,260098048,1.39114,2.5302765,-0.52620137
E,1995,-7863482880,0.31968558,1.1890552,-0.4842537
E,1996,3520491520,0.61097682,1.4845277,-0.97895509
E,1997,5234565120,0.71761495,1.554462,-0.98863661
E,1998,344746176,0.69613826,1.7010406,-0.089652456
E,1999,243920688,0.60662067,1.611904,-0.089298844
F,1990,1342787840,-0.56757486,-0.34667096,1.2584193
F,1991,3560401920,0.15974578,-0.46411821,0.32665297
F,1992,3192281088,0.88706642,-0.5815655,-0.60511333
F,1993,8941232128,0.53241795,-0.75532377,-0.51157588
F,1994,8124504576,0.87260014,-0.71144307,0.20570269
F,1995,491740096,0.91935229,-0.36974406,-0.012927548
F,1996,3497164544,1.3968923,-0.36014059,0.67867643
F,1997,4764803072,0.98688608,-0.35909018,0.24226174
F,1998,-4671723520,0.7883091,-0.75565243,0.73347801
F,1999,6349319168,0.27938697,-0.46016791,1.173172
G,1990,1342787840,0.94488174,-1.5150151,1.4526573
G,1991,-1518985728,1.0987283,-1.4614717,1.4396447
G,1992,1912769920,1.2525749,-1.4079282,1.426632
G,1993,1345690240,0.76276451,-1.3519315,1.8544863
G,1994,2793515008,1.2064556,-1.3252175,2.2365303
G,1995,1323696384,1.0871865,-1.4098167,2.8298085
G,1996,254524176,0.78107548,-1.3279996,4.278224
G,1997,3297033216,1.2578795,-1.5773667,4.5873256
G,1998,3011820800,1.2427766,-1.6012177,6.1137619
G,1999,3296283392,1.2342002,-1.6217614,7.1689219